from,rel,to
BIOL206,HAS_PREREQUISITE,AND1
AND1,HAS_PREREQUISITE,BIOL115
AND1,HAS_PREREQUISITE,OR2
OR2,HAS_PREREQUISITE,BIOL114
OR2,HAS_PREREQUISITE,BIOL116
OR2,HAS_PREREQUISITE,BIOL108
